text_id,domain,source,start_date,end_date,fact,source_file,source_url,url_status
38d16528a0b7bcd2,Agriculture,report,2018-11-21,2018-11-21,"Whole broiler/fryer prices are steady, and retail demand is light to moderate. Supplies of all sizes are light to moderate.",,,missing
911c531dacc52ffd,Agriculture,report,2018-11-21,2018-11-21,"The current whole broiler/fryer prices are steady, and retail demand is light to moderate.",,,missing
99d632eeaedd53a2,Agriculture,report,2018-11-23,2018-11-23,"Wholesale broiler/fryer prices are generally steady, and retail demand is light to moderate following the holiday. Supplies of all sizes are light to moderate.",,,missing
a30907420d41c483,Agriculture,report,2018-11-23,2018-11-23,Whole broiler/fryer prices are generally steady. Retail demand is light to moderate following the holiday.,,,missing
a036ac4dd63bf4a8,Agriculture,report,2018-11-26,2018-11-26,"The National Composite Weighted Average for 11/23/18 is 87.07 compared to 87.75 a week earlier, and 86.13 a year ago.",,,missing
6072b9090acc59d9,Agriculture,report,2018-11-27,2018-11-27,Whole broiler/fryer prices are mostly steady to instances firm. Retail demand is light to moderate at best.,,,missing
dd2c4a7cdb4642c7,Agriculture,report,2018-11-27,2018-11-27,"Whole broiler/fryer prices are mostly steady to instances firm, and retail demand is light to moderate at best.",,,missing
290f079b21fb13c0,Agriculture,report,2018-11-28,2018-11-28,"The whole broiler/fryer prices are mixed, and supplies of all sizes are light to moderate. Retail and food service demand is light to moderate.",,,missing
5a800579cfc0ca7a,Agriculture,report,2018-11-28,2018-11-28,"Whole broiler/fryer prices are mixed, and retail demand is light to moderate.",,,missing
e6c94130b35c0af1,Agriculture,report,2018-11-28,2018-11-28,"The current broiler market is characterized by mixed whole broiler/fryer prices, light to moderate supplies, and light to moderate retail and food service demand. Floor stocks are adequate to sometimes heavier than desired.",,,missing
7bbba8f937ee719f,Agriculture,report,2018-11-29,2018-11-29,"Whole broiler/fryer prices are steady to instances firm, with 3 lb. and heavier sizes strongest. Supplies of all sizes are light to moderate, with some increase in supplies noted.",,,missing
fb5119e588a5b47b,Agriculture,report,2018-11-29,2018-11-29,"Whole broiler/fryer prices are steady to instances firm, with 3 lb. and heavier sizes strongest. Supplies of all sizes are light to moderate, with some increase in supplies noted. Retail and food service demand is light to moderate.",,,missing
